Project Name (Repository Name),Group Name,Group Depth,Last Activity At (JST),Created At (JST),Project URL
gitlab-org,1,gitlab-org/cli,2022-04-15 07:24:18,2022-03-22 03:49:22,https://gitlab.com/gitlab-org/cli
gitlab-org,1,gitlab-org/gitlab-packer,2018-01-16 21:41:29,2014-02-11 17:01:30,https://gitlab.com/gitlab-org/gitlab-packer
gitlab-org,1,gitlab-org/gitlab-mock-ci-service,2020-11-25 02:46:20,2017-02-18 04:16:29,https://gitlab.com/gitlab-org/gitlab-mock-ci-service
gitlab-org,1,gitlab-org/gitaly-proto,2022-03-14 15:39:15,2017-02-14 02:13:47,https://gitlab.com/gitlab-org/gitaly-proto
gitlab-org,1,gitlab-org/customers-gitlab-com,2022-04-15 14:21:28,2017-02-10 03:59:13,https://gitlab.com/gitlab-org/customers-gitlab-com
gitlab-org,1,gitlab-org/docker-distribution-pruner,2022-04-15 09:14:28,2017-02-07 19:51:37,https://gitlab.com/gitlab-org/docker-distribution-pruner
gitlab-org,1,gitlab-org/apilab,2021-02-12 01:52:41,2017-01-27 02:12:34,https://gitlab.com/gitlab-org/apilab
gitlab-org,1,gitlab-org/packagecloud-ruby,2018-01-16 21:41:28,2017-01-20 22:37:19,https://gitlab.com/gitlab-org/packagecloud-ruby
gitlab-org,1,gitlab-org/multi-user-prometheus,2018-11-22 00:36:33,2017-01-19 10:31:04,https://gitlab.com/gitlab-org/multi-user-prometheus
gitlab-org,1,gitlab-org/kubernetes-gitlab-demo,2020-06-22 12:26:32,2017-01-16 08:08:34,https://gitlab.com/gitlab-org/kubernetes-gitlab-demo
gitlab-org,1,gitlab-org/eclipse-gitlab-slides,2018-01-16 21:41:30,2016-12-07 14:37:05,https://gitlab.com/gitlab-org/eclipse-gitlab-slides
gitlab-org,1,gitlab-org/testme,2019-12-30 04:05:01,2014-02-28 17:01:24,https://gitlab.com/gitlab-org/testme
gitlab-org,1,gitlab-org/gitaly,2022-04-15 09:08:32,2016-11-15 06:07:35,https://gitlab.com/gitlab-org/gitaly
gitlab-org,1,gitlab-org/ci-training-slides,2019-01-16 23:26:55,2016-11-11 10:48:41,https://gitlab.com/gitlab-org/ci-training-slides
